Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3539905;Interior;Poloni;94;3;;
3540002;Interior;Pompéia;188;4;;
3540101;Interior;Pongaí;124;6;;
3540200;Interior;Pontal;1604;52;;
3540259;Interior;Pontalinda;80;5;;
3540309;Interior;Pontes Gestal;141;4;;
3540408;Interior;Populina;65;3;;
3540507;Interior;Porangaba;53;0;;
3540606;Interior;Porto Feliz;1403;15;;
3540705;Interior;Porto Ferreira;1411;36;;
3540754;Interior;Potim;333;8;;
3540804;Interior;Potirendaba;664;12;;
3540853;Interior;Pracinha;96;0;;
3540903;Interior;Pradópolis;802;23;;
3541000;Interior;Praia Grande;8508;287;;
3541059;Interior;Pratânia;65;2;;
3541109;Interior;Presidente Alves;83;2;;
3541208;Interior;Presidente Bernardes;404;12;;
3541307;Interior;Presidente Epitácio;624;20;;
3541406;Interior;Presidente Prudente;6404;161;;
3541505;Interior;Presidente Venceslau;543;24;;
3541604;Interior;Promissão;1888;12;;
3541653;Interior;Quadra;27;2;;
3541703;Interior;Quatá;242;4;;
3541802;Interior;Queiroz;27;2;;
3541901;Interior;Queluz;344;3;;
3542008;Interior;Quintana;76;1;;
3542107;Interior;Rafard;213;3;;
3542206;Interior;Rancharia;1025;14;;
3542305;Interior;Redenção da Serra;24;0;;
3542404;Interior;Regente Feijó;176;7;;
3542503;Interior;Reginópolis;122;2;;
3542602;Interior;Registro;1768;46;;
3542701;Interior;Restinga;80;0;;
3542800;Interior;Ribeira;42;0;;
3542909;Interior;Ribeirão Bonito;357;5;;
3543006;Interior;Ribeirão Branco;267;6;;
3543105;Interior;Ribeirão Corrente;75;1;;
3543204;Interior;Ribeirão do Sul;54;1;;
3543238;Interior;Ribeirão dos Índios;39;3;;
3543253;Interior;Ribeirão Grande;149;2;;
3543303;RMSP (exceto capital);Ribeirão Pires;2429;86;;
3543402;Interior;Ribeirão Preto;27106;887;;
3543501;Interior;Riversul;21;2;;
3543600;Interior;Rifaina;53;3;;
3543709;Interior;Rincão;113;4;;
3543808;Interior;Rinópolis;98;0;;
3543907;Interior;Rio Claro;4392;147;;
3544004;Interior;Rio das Pedras;775;38;;
3544103;RMSP (exceto capital);Rio Grande da Serra;759;28;;
3544202;Interior;Riolândia;360;3;;
3544251;Interior;Rosana;192;4;;
3544301;Interior;Roseira;260;5;;
3544400;Interior;Rubiácea;48;0;;
3544509;Interior;Rubinéia;79;2;;
3544608;Interior;Sabino;89;6;;
3544707;Interior;Sagres;8;0;;
3544806;Interior;Sales;88;3;;
3544905;Interior;Sales Oliveira;474;4;;
3545001;RMSP (exceto capital);Salesópolis;267;16;;
3545100;Interior;Salmourão;23;1;;
3545159;Interior;Saltinho;161;2;;
3545209;Interior;Salto;3287;73;;
3545308;Interior;Salto de Pirapora;1098;23;;
3545407;Interior;Salto Grande;139;2;;
3545506;Interior;Sandovalina;66;3;;
3545605;Interior;Santa Adélia;401;5;;
3545704;Interior;Santa Albertina;207;2;;
3545803;Interior;Santa Bárbara d'Oeste;6368;195;;
3546009;Interior;Santa Branca;228;6;;
3546108;Interior;Santa Clara d'Oeste;60;3;;
3546207;Interior;Santa Cruz da Conceição;142;0;;
3546256;Interior;Santa Cruz da Esperança;21;2;;
3546306;Interior;Santa Cruz das Palmeiras;1497;24;;
3546405;Interior;Santa Cruz do Rio Pardo;859;9;;
3546504;Interior;Santa Ernestina;175;3;;
3546603;Interior;Santa Fé do Sul;1130;40;;
3546702;Interior;Santa Gertrudes;1070;19;;
3546801;RMSP (exceto capital);Santa Isabel;1500;73;;
3546900;Interior;Santa Lúcia;114;5;;
3547007;Interior;Santa Maria da Serra;129;1;;
3547106;Interior;Santa Mercedes;11;1;;
3547205;Interior;Santana da Ponte Pensa;18;0;;
3547304;RMSP (exceto capital);Santana de Parnaíba;3997;109;;
3547403;Interior;Santa Rita d'Oeste;39;1;;
3547502;Interior;Santa Rita do Passa Quatro;400;13;;
3547601;Interior;Santa Rosa de Viterbo;415;4;;
3547650;Interior;Santa Salete;60;2;;
3547700;Interior;Santo Anastácio;359;12;;
3547809;RMSP (exceto capital);Santo André;21910;666;;
3547908;Interior;Santo Antônio da Alegria;149;3;;
3548005;Interior;Santo Antônio de Posse;790;11;;
3548054;Interior;Santo Antônio do Aracanguá;170;6;;
3548104;Interior;Santo Antônio do Jardim;87;3;;
3548203;Interior;Santo Antônio do Pinhal;80;3;;
3548302;Interior;Santo Expedito;24;1;;
3548401;Interior;Santópolis do Aguapeí;95;3;;
3548500;Interior;Santos;26972;747;;
3548609;Interior;São Bento do Sapucaí;68;1;;
3548708;RMSP (exceto capital);São Bernardo do Campo;28832;1021;;
3548807;RMSP (exceto capital);São Caetano do Sul;5958;256;;
3548906;Interior;São Carlos;3972;56;;
3549003;Interior;São Francisco;66;5;;
3549102;Interior;São João da Boa Vista;894;27;;
3549201;Interior;São João das Duas Pontes;79;3;;
3549250;Interior;São João de Iracema;44;3;;
3549300;Interior;São João do Pau d'Alho;6;0;;
3549409;Interior;São Joaquim da Barra;1380;31;;
3549508;Interior;São José da Bela Vista;50;4;;
3549607;Interior;São José do Barreiro;23;2;;
3549706;Interior;São José do Rio Pardo;826;25;;
3549805;Interior;São José do Rio Preto;29190;781;;
3549904;Interior;São José dos Campos;20493;490;;
3549953;RMSP (exceto capital);São Lourenço da Serra;274;8;;
3550001;Interior;São Luiz do Paraitinga;18;5;;
3550100;Interior;São Manuel;402;11;;
3550209;Interior;São Miguel Arcanjo;289;9;;
3550308;Capital;São Paulo;342822;14216;;
